,Region,year,value,Age,type
27,Asia and the Pacific,2002,20000,Childern (0-19),AIDS-related deaths
28,Caribbean,2002,3000,Childern (0-19),AIDS-related deaths
29,East and Southern Africa,2002,210000,Childern (0-19),AIDS-related deaths
31,Latin America,2002,5200,Childern (0-19),AIDS-related deaths
32,Middle East and North Africa,2002,1000,Childern (0-19),AIDS-related deaths
33,West and Central Africa,2002,75000,Childern (0-19),AIDS-related deaths
35,Global,2002,320000,Childern (0-19),AIDS-related deaths
36,Asia and the Pacific,2003,20000,Childern (0-19),AIDS-related deaths
37,Caribbean,2003,2900,Childern (0-19),AIDS-related deaths
38,East and Southern Africa,2003,210000,Childern (0-19),AIDS-related deaths
40,Latin America,2003,5200,Childern (0-19),AIDS-related deaths
41,Middle East and North Africa,2003,1100,Childern (0-19),AIDS-related deaths
42,West and Central Africa,2003,76000,Childern (0-19),AIDS-related deaths
44,Global,2003,320000,Childern (0-19),AIDS-related deaths
45,Asia and the Pacific,2004,19000,Childern (0-19),AIDS-related deaths
46,Caribbean,2004,2800,Childern (0-19),AIDS-related deaths
47,East and Southern Africa,2004,220000,Childern (0-19),AIDS-related deaths
49,Latin America,2004,5100,Childern (0-19),AIDS-related deaths
50,Middle East and North Africa,2004,1100,Childern (0-19),AIDS-related deaths
51,West and Central Africa,2004,75000,Childern (0-19),AIDS-related deaths
53,Global,2004,320000,Childern (0-19),AIDS-related deaths
54,Asia and the Pacific,2005,18000,Childern (0-19),AIDS-related deaths
55,Caribbean,2005,2600,Childern (0-19),AIDS-related deaths
56,East and Southern Africa,2005,210000,Childern (0-19),AIDS-related deaths
58,Latin America,2005,4900,Childern (0-19),AIDS-related deaths
59,Middle East and North Africa,2005,1100,Childern (0-19),AIDS-related deaths
60,West and Central Africa,2005,75000,Childern (0-19),AIDS-related deaths
62,Global,2005,320000,Childern (0-19),AIDS-related deaths
63,Asia and the Pacific,2006,18000,Childern (0-19),AIDS-related deaths
64,Caribbean,2006,2400,Childern (0-19),AIDS-related deaths
65,East and Southern Africa,2006,210000,Childern (0-19),AIDS-related deaths
67,Latin America,2006,4600,Childern (0-19),AIDS-related deaths
68,Middle East and North Africa,2006,1100,Childern (0-19),AIDS-related deaths
69,West and Central Africa,2006,73000,Childern (0-19),AIDS-related deaths
71,Global,2006,310000,Childern (0-19),AIDS-related deaths
72,Asia and the Pacific,2007,17000,Childern (0-19),AIDS-related deaths
73,Caribbean,2007,2100,Childern (0-19),AIDS-related deaths
74,East and Southern Africa,2007,200000,Childern (0-19),AIDS-related deaths
76,Latin America,2007,4400,Childern (0-19),AIDS-related deaths
77,Middle East and North Africa,2007,1200,Childern (0-19),AIDS-related deaths
78,West and Central Africa,2007,71000,Childern (0-19),AIDS-related deaths
80,Global,2007,300000,Childern (0-19),AIDS-related deaths
81,Asia and the Pacific,2008,16000,Childern (0-19),AIDS-related deaths
82,Caribbean,2008,1900,Childern (0-19),AIDS-related deaths
83,East and Southern Africa,2008,180000,Childern (0-19),AIDS-related deaths
85,Latin America,2008,4100,Childern (0-19),AIDS-related deaths
86,Middle East and North Africa,2008,1200,Childern (0-19),AIDS-related deaths
87,West and Central Africa,2008,68000,Childern (0-19),AIDS-related deaths
89,Global,2008,280000,Childern (0-19),AIDS-related deaths
90,Asia and the Pacific,2009,15000,Childern (0-19),AIDS-related deaths
91,Caribbean,2009,1600,Childern (0-19),AIDS-related deaths
92,East and Southern Africa,2009,160000,Childern (0-19),AIDS-related deaths
94,Latin America,2009,3800,Childern (0-19),AIDS-related deaths
95,Middle East and North Africa,2009,1100,Childern (0-19),AIDS-related deaths
96,West and Central Africa,2009,66000,Childern (0-19),AIDS-related deaths
98,Global,2009,250000,Childern (0-19),AIDS-related deaths
99,Asia and the Pacific,2010,13000,Childern (0-19),AIDS-related deaths
100,Caribbean,2010,1500,Childern (0-19),AIDS-related deaths
101,East and Southern Africa,2010,140000,Childern (0-19),AIDS-related deaths
103,Latin America,2010,3500,Childern (0-19),AIDS-related deaths
104,Middle East and North Africa,2010,1100,Childern (0-19),AIDS-related deaths
105,West and Central Africa,2010,62000,Childern (0-19),AIDS-related deaths
107,Global,2010,220000,Childern (0-19),AIDS-related deaths
108,Asia and the Pacific,2011,13000,Childern (0-19),AIDS-related deaths
109,Caribbean,2011,1300,Childern (0-19),AIDS-related deaths
110,East and Southern Africa,2011,120000,Childern (0-19),AIDS-related deaths
112,Latin America,2011,3200,Childern (0-19),AIDS-related deaths
113,Middle East and North Africa,2011,1100,Childern (0-19),AIDS-related deaths
114,West and Central Africa,2011,60000,Childern (0-19),AIDS-related deaths
116,Global,2011,200000,Childern (0-19),AIDS-related deaths
117,Asia and the Pacific,2012,12000,Childern (0-19),AIDS-related deaths
118,Caribbean,2012,1100,Childern (0-19),AIDS-related deaths
119,East and Southern Africa,2012,100000,Childern (0-19),AIDS-related deaths
121,Latin America,2012,3100,Childern (0-19),AIDS-related deaths
122,Middle East and North Africa,2012,1100,Childern (0-19),AIDS-related deaths
123,West and Central Africa,2012,57000,Childern (0-19),AIDS-related deaths
125,Global,2012,180000,Childern (0-19),AIDS-related deaths
126,Asia and the Pacific,2013,12000,Childern (0-19),AIDS-related deaths
127,Caribbean,2013,999,Childern (0-19),AIDS-related deaths
128,East and Southern Africa,2013,85000,Childern (0-19),AIDS-related deaths
130,Latin America,2013,3000,Childern (0-19),AIDS-related deaths
131,Middle East and North Africa,2013,1000,Childern (0-19),AIDS-related deaths
132,West and Central Africa,2013,51000,Childern (0-19),AIDS-related deaths
134,Global,2013,160000,Childern (0-19),AIDS-related deaths
135,Asia and the Pacific,2014,11000,Childern (0-19),AIDS-related deaths
136,Caribbean,2014,999,Childern (0-19),AIDS-related deaths
137,East and Southern Africa,2014,76000,Childern (0-19),AIDS-related deaths
139,Latin America,2014,2800,Childern (0-19),AIDS-related deaths
140,Middle East and North Africa,2014,1000,Childern (0-19),AIDS-related deaths
141,West and Central Africa,2014,47000,Childern (0-19),AIDS-related deaths
143,Global,2014,140000,Childern (0-19),AIDS-related deaths
144,Asia and the Pacific,2015,9700,Childern (0-19),AIDS-related deaths
145,Caribbean,2015,999,Childern (0-19),AIDS-related deaths
146,East and Southern Africa,2015,69000,Childern (0-19),AIDS-related deaths
148,Latin America,2015,2700,Childern (0-19),AIDS-related deaths
149,Middle East and North Africa,2015,999,Childern (0-19),AIDS-related deaths
150,West and Central Africa,2015,44000,Childern (0-19),AIDS-related deaths
152,Global,2015,130000,Childern (0-19),AIDS-related deaths
153,Asia and the Pacific,2016,8800,Childern (0-19),AIDS-related deaths
154,Caribbean,2016,999,Childern (0-19),AIDS-related deaths
155,East and Southern Africa,2016,61000,Childern (0-19),AIDS-related deaths
157,Latin America,2016,2500,Childern (0-19),AIDS-related deaths
158,Middle East and North Africa,2016,999,Childern (0-19),AIDS-related deaths
159,West and Central Africa,2016,40000,Childern (0-19),AIDS-related deaths
161,Global,2016,120000,Childern (0-19),AIDS-related deaths
162,Asia and the Pacific,2017,8300,Childern (0-19),AIDS-related deaths
163,Caribbean,2017,999,Childern (0-19),AIDS-related deaths
164,East and Southern Africa,2017,56000,Childern (0-19),AIDS-related deaths
166,Latin America,2017,2400,Childern (0-19),AIDS-related deaths
167,Middle East and North Africa,2017,999,Childern (0-19),AIDS-related deaths
168,West and Central Africa,2017,39000,Childern (0-19),AIDS-related deaths
170,Global,2017,110000,Childern (0-19),AIDS-related deaths
171,Asia and the Pacific,2018,8100,Childern (0-19),AIDS-related deaths
172,Caribbean,2018,999,Childern (0-19),AIDS-related deaths
173,East and Southern Africa,2018,50000,Childern (0-19),AIDS-related deaths
175,Latin America,2018,2300,Childern (0-19),AIDS-related deaths
176,Middle East and North Africa,2018,999,Childern (0-19),AIDS-related deaths
177,West and Central Africa,2018,37000,Childern (0-19),AIDS-related deaths
179,Global,2018,100000,Childern (0-19),AIDS-related deaths
180,Asia and the Pacific,2019,7900,Childern (0-19),AIDS-related deaths
181,Caribbean,2019,999,Childern (0-19),AIDS-related deaths
182,East and Southern Africa,2019,46000,Childern (0-19),AIDS-related deaths
184,Latin America,2019,2200,Childern (0-19),AIDS-related deaths
185,Middle East and North Africa,2019,999,Childern (0-19),AIDS-related deaths
186,West and Central Africa,2019,36000,Childern (0-19),AIDS-related deaths
188,Global,2019,95000,Childern (0-19),AIDS-related deaths
0,Asia and the Pacific,1999,280000,People aged 50 and over,People living with HIV
1,Caribbean,1999,26000,People aged 50 and over,People living with HIV
2,East and Southern Africa,1999,860000,People aged 50 and over,People living with HIV
3,Eastern Europe and Central Asia,1999,23000,People aged 50 and over,People living with HIV
4,Latin America,1999,79000,People aged 50 and over,People living with HIV
5,Middle East and North Africa,1999,5400,People aged 50 and over,People living with HIV
6,West and Central Africa,1999,360000,People aged 50 and over,People living with HIV
7,Western & Central Europe and North America,1999,210000,People aged 50 and over,People living with HIV
8,Global,1999,1800000,People aged 50 and over,People living with HIV
9,Asia and the Pacific,2000,310000,People aged 50 and over,People living with HIV
10,Caribbean,2000,26000,People aged 50 and over,People living with HIV
11,East and Southern Africa,2000,890000,People aged 50 and over,People living with HIV
12,Eastern Europe and Central Asia,2000,28000,People aged 50 and over,People living with HIV
13,Latin America,2000,90000,People aged 50 and over,People living with HIV
14,Middle East and North Africa,2000,6300,People aged 50 and over,People living with HIV
15,West and Central Africa,2000,370000,People aged 50 and over,People living with HIV
16,Western & Central Europe and North America,2000,240000,People aged 50 and over,People living with HIV
17,Global,2000,2000000,People aged 50 and over,People living with HIV
18,Asia and the Pacific,2001,330000,People aged 50 and over,People living with HIV
19,Caribbean,2001,27000,People aged 50 and over,People living with HIV
20,East and Southern Africa,2001,930000,People aged 50 and over,People living with HIV
21,Eastern Europe and Central Asia,2001,32000,People aged 50 and over,People living with HIV
22,Latin America,2001,100000,People aged 50 and over,People living with HIV
23,Middle East and North Africa,2001,7300,People aged 50 and over,People living with HIV
24,West and Central Africa,2001,380000,People aged 50 and over,People living with HIV
25,Western & Central Europe and North America,2001,270000,People aged 50 and over,People living with HIV
26,Global,2001,2100000,People aged 50 and over,People living with HIV
27,Asia and the Pacific,2002,360000,People aged 50 and over,People living with HIV
28,Caribbean,2002,27000,People aged 50 and over,People living with HIV
29,East and Southern Africa,2002,960000,People aged 50 and over,People living with HIV
30,Eastern Europe and Central Asia,2002,38000,People aged 50 and over,People living with HIV
31,Latin America,2002,120000,People aged 50 and over,People living with HIV
32,Middle East and North Africa,2002,8400,People aged 50 and over,People living with HIV
33,West and Central Africa,2002,390000,People aged 50 and over,People living with HIV
34,Western & Central Europe and North America,2002,300000,People aged 50 and over,People living with HIV
35,Global,2002,2200000,People aged 50 and over,People living with HIV
36,Asia and the Pacific,2003,380000,People aged 50 and over,People living with HIV
37,Caribbean,2003,28000,People aged 50 and over,People living with HIV
38,East and Southern Africa,2003,990000,People aged 50 and over,People living with HIV
39,Eastern Europe and Central Asia,2003,44000,People aged 50 and over,People living with HIV
40,Latin America,2003,130000,People aged 50 and over,People living with HIV
41,Middle East and North Africa,2003,9500,People aged 50 and over,People living with HIV
42,West and Central Africa,2003,390000,People aged 50 and over,People living with HIV
43,Western & Central Europe and North America,2003,340000,People aged 50 and over,People living with HIV
44,Global,2003,2300000,People aged 50 and over,People living with HIV
45,Asia and the Pacific,2004,390000,People aged 50 and over,People living with HIV
46,Caribbean,2004,28000,People aged 50 and over,People living with HIV
47,East and Southern Africa,2004,1000000,People aged 50 and over,People living with HIV
48,Eastern Europe and Central Asia,2004,50000,People aged 50 and over,People living with HIV
49,Latin America,2004,150000,People aged 50 and over,People living with HIV
50,Middle East and North Africa,2004,11000,People aged 50 and over,People living with HIV
51,West and Central Africa,2004,400000,People aged 50 and over,People living with HIV
52,Western & Central Europe and North America,2004,380000,People aged 50 and over,People living with HIV
53,Global,2004,2400000,People aged 50 and over,People living with HIV
54,Asia and the Pacific,2005,410000,People aged 50 and over,People living with HIV
55,Caribbean,2005,29000,People aged 50 and over,People living with HIV
56,East and Southern Africa,2005,1100000,People aged 50 and over,People living with HIV
57,Eastern Europe and Central Asia,2005,58000,People aged 50 and over,People living with HIV
58,Latin America,2005,160000,People aged 50 and over,People living with HIV
59,Middle East and North Africa,2005,12000,People aged 50 and over,People living with HIV
60,West and Central Africa,2005,400000,People aged 50 and over,People living with HIV
61,Western & Central Europe and North America,2005,420000,People aged 50 and over,People living with HIV
62,Global,2005,2600000,People aged 50 and over,People living with HIV
63,Asia and the Pacific,2006,430000,People aged 50 and over,People living with HIV
64,Caribbean,2006,30000,People aged 50 and over,People living with HIV
65,East and Southern Africa,2006,1100000,People aged 50 and over,People living with HIV
66,Eastern Europe and Central Asia,2006,66000,People aged 50 and over,People living with HIV
67,Latin America,2006,180000,People aged 50 and over,People living with HIV
68,Middle East and North Africa,2006,13000,People aged 50 and over,People living with HIV
69,West and Central Africa,2006,410000,People aged 50 and over,People living with HIV
70,Western & Central Europe and North America,2006,470000,People aged 50 and over,People living with HIV
71,Global,2006,2700000,People aged 50 and over,People living with HIV
72,Asia and the Pacific,2007,450000,People aged 50 and over,People living with HIV
73,Caribbean,2007,32000,People aged 50 and over,People living with HIV
74,East and Southern Africa,2007,1200000,People aged 50 and over,People living with HIV
75,Eastern Europe and Central Asia,2007,76000,People aged 50 and over,People living with HIV
76,Latin America,2007,200000,People aged 50 and over,People living with HIV
77,Middle East and North Africa,2007,14000,People aged 50 and over,People living with HIV
78,West and Central Africa,2007,430000,People aged 50 and over,People living with HIV
79,Western & Central Europe and North America,2007,510000,People aged 50 and over,People living with HIV
80,Global,2007,2900000,People aged 50 and over,People living with HIV
81,Asia and the Pacific,2008,480000,People aged 50 and over,People living with HIV
82,Caribbean,2008,35000,People aged 50 and over,People living with HIV
83,East and Southern Africa,2008,1300000,People aged 50 and over,People living with HIV
84,Eastern Europe and Central Asia,2008,89000,People aged 50 and over,People living with HIV
85,Latin America,2008,230000,People aged 50 and over,People living with HIV
86,Middle East and North Africa,2008,16000,People aged 50 and over,People living with HIV
87,West and Central Africa,2008,440000,People aged 50 and over,People living with HIV
88,Western & Central Europe and North America,2008,560000,People aged 50 and over,People living with HIV
89,Global,2008,3200000,People aged 50 and over,People living with HIV
90,Asia and the Pacific,2009,510000,People aged 50 and over,People living with HIV
91,Caribbean,2009,38000,People aged 50 and over,People living with HIV
92,East and Southern Africa,2009,1400000,People aged 50 and over,People living with HIV
93,Eastern Europe and Central Asia,2009,100000,People aged 50 and over,People living with HIV
94,Latin America,2009,250000,People aged 50 and over,People living with HIV
95,Middle East and North Africa,2009,17000,People aged 50 and over,People living with HIV
96,West and Central Africa,2009,460000,People aged 50 and over,People living with HIV
97,Western & Central Europe and North America,2009,610000,People aged 50 and over,People living with HIV
98,Global,2009,3400000,People aged 50 and over,People living with HIV
99,Asia and the Pacific,2010,550000,People aged 50 and over,People living with HIV
100,Caribbean,2010,41000,People aged 50 and over,People living with HIV
101,East and Southern Africa,2010,1600000,People aged 50 and over,People living with HIV
102,Eastern Europe and Central Asia,2010,120000,People aged 50 and over,People living with HIV
103,Latin America,2010,280000,People aged 50 and over,People living with HIV
104,Middle East and North Africa,2010,19000,People aged 50 and over,People living with HIV
105,West and Central Africa,2010,490000,People aged 50 and over,People living with HIV
106,Western & Central Europe and North America,2010,670000,People aged 50 and over,People living with HIV
107,Global,2010,3700000,People aged 50 and over,People living with HIV
108,Asia and the Pacific,2011,600000,People aged 50 and over,People living with HIV
109,Caribbean,2011,45000,People aged 50 and over,People living with HIV
110,East and Southern Africa,2011,1700000,People aged 50 and over,People living with HIV
111,Eastern Europe and Central Asia,2011,140000,People aged 50 and over,People living with HIV
112,Latin America,2011,310000,People aged 50 and over,People living with HIV
113,Middle East and North Africa,2011,20000,People aged 50 and over,People living with HIV
114,West and Central Africa,2011,520000,People aged 50 and over,People living with HIV
115,Western & Central Europe and North America,2011,720000,People aged 50 and over,People living with HIV
116,Global,2011,4100000,People aged 50 and over,People living with HIV
117,Asia and the Pacific,2012,660000,People aged 50 and over,People living with HIV
118,Caribbean,2012,49000,People aged 50 and over,People living with HIV
119,East and Southern Africa,2012,1900000,People aged 50 and over,People living with HIV
120,Eastern Europe and Central Asia,2012,150000,People aged 50 and over,People living with HIV
121,Latin America,2012,340000,People aged 50 and over,People living with HIV
122,Middle East and North Africa,2012,22000,People aged 50 and over,People living with HIV
123,West and Central Africa,2012,550000,People aged 50 and over,People living with HIV
124,Western & Central Europe and North America,2012,780000,People aged 50 and over,People living with HIV
125,Global,2012,4500000,People aged 50 and over,People living with HIV
126,Asia and the Pacific,2013,710000,People aged 50 and over,People living with HIV
127,Caribbean,2013,53000,People aged 50 and over,People living with HIV
128,East and Southern Africa,2013,2100000,People aged 50 and over,People living with HIV
129,Eastern Europe and Central Asia,2013,170000,People aged 50 and over,People living with HIV
130,Latin America,2013,380000,People aged 50 and over,People living with HIV
131,Middle East and North Africa,2013,24000,People aged 50 and over,People living with HIV
132,West and Central Africa,2013,580000,People aged 50 and over,People living with HIV
133,Western & Central Europe and North America,2013,830000,People aged 50 and over,People living with HIV
134,Global,2013,4900000,People aged 50 and over,People living with HIV
135,Asia and the Pacific,2014,780000,People aged 50 and over,People living with HIV
136,Caribbean,2014,57000,People aged 50 and over,People living with HIV
137,East and Southern Africa,2014,2300000,People aged 50 and over,People living with HIV
138,Eastern Europe and Central Asia,2014,200000,People aged 50 and over,People living with HIV
139,Latin America,2014,420000,People aged 50 and over,People living with HIV
140,Middle East and North Africa,2014,26000,People aged 50 and over,People living with HIV
141,West and Central Africa,2014,620000,People aged 50 and over,People living with HIV
142,Western & Central Europe and North America,2014,890000,People aged 50 and over,People living with HIV
143,Global,2014,5300000,People aged 50 and over,People living with HIV
144,Asia and the Pacific,2015,850000,People aged 50 and over,People living with HIV
145,Caribbean,2015,62000,People aged 50 and over,People living with HIV
146,East and Southern Africa,2015,2500000,People aged 50 and over,People living with HIV
147,Eastern Europe and Central Asia,2015,220000,People aged 50 and over,People living with HIV
148,Latin America,2015,460000,People aged 50 and over,People living with HIV
149,Middle East and North Africa,2015,29000,People aged 50 and over,People living with HIV
150,West and Central Africa,2015,660000,People aged 50 and over,People living with HIV
151,Western & Central Europe and North America,2015,940000,People aged 50 and over,People living with HIV
152,Global,2015,5800000,People aged 50 and over,People living with HIV
153,Asia and the Pacific,2016,930000,People aged 50 and over,People living with HIV
154,Caribbean,2016,67000,People aged 50 and over,People living with HIV
155,East and Southern Africa,2016,2800000,People aged 50 and over,People living with HIV
156,Eastern Europe and Central Asia,2016,240000,People aged 50 and over,People living with HIV
157,Latin America,2016,500000,People aged 50 and over,People living with HIV
158,Middle East and North Africa,2016,32000,People aged 50 and over,People living with HIV
159,West and Central Africa,2016,710000,People aged 50 and over,People living with HIV
160,Western & Central Europe and North America,2016,1000000,People aged 50 and over,People living with HIV
161,Global,2016,6300000,People aged 50 and over,People living with HIV
162,Asia and the Pacific,2017,1000000,People aged 50 and over,People living with HIV
163,Caribbean,2017,72000,People aged 50 and over,People living with HIV
164,East and Southern Africa,2017,3100000,People aged 50 and over,People living with HIV
165,Eastern Europe and Central Asia,2017,270000,People aged 50 and over,People living with HIV
166,Latin America,2017,550000,People aged 50 and over,People living with HIV
167,Middle East and North Africa,2017,35000,People aged 50 and over,People living with HIV
168,West and Central Africa,2017,750000,People aged 50 and over,People living with HIV
169,Western & Central Europe and North America,2017,1000000,People aged 50 and over,People living with HIV
170,Global,2017,6800000,People aged 50 and over,People living with HIV
171,Asia and the Pacific,2018,1100000,People aged 50 and over,People living with HIV
172,Caribbean,2018,77000,People aged 50 and over,People living with HIV
173,East and Southern Africa,2018,3300000,People aged 50 and over,People living with HIV
174,Eastern Europe and Central Asia,2018,300000,People aged 50 and over,People living with HIV
175,Latin America,2018,590000,People aged 50 and over,People living with HIV
176,Middle East and North Africa,2018,38000,People aged 50 and over,People living with HIV
177,West and Central Africa,2018,800000,People aged 50 and over,People living with HIV
178,Western & Central Europe and North America,2018,1100000,People aged 50 and over,People living with HIV
179,Global,2018,7400000,People aged 50 and over,People living with HIV
180,Asia and the Pacific,2019,1200000,People aged 50 and over,People living with HIV
181,Caribbean,2019,83000,People aged 50 and over,People living with HIV
182,East and Southern Africa,2019,3600000,People aged 50 and over,People living with HIV
183,Eastern Europe and Central Asia,2019,330000,People aged 50 and over,People living with HIV
184,Latin America,2019,640000,People aged 50 and over,People living with HIV
185,Middle East and North Africa,2019,42000,People aged 50 and over,People living with HIV
186,West and Central Africa,2019,860000,People aged 50 and over,People living with HIV
187,Western & Central Europe and North America,2019,1100000,People aged 50 and over,People living with HIV
188,Global,2019,7900000,People aged 50 and over,People living with HIV
0,Asia and the Pacific,1999,3500000,Adults (15-49),People living with HIV
1,Caribbean,1999,250000,Adults (15-49),People living with HIV
2,East and Southern Africa,1999,10400000,Adults (15-49),People living with HIV
3,Eastern Europe and Central Asia,1999,260000,Adults (15-49),People living with HIV
4,Latin America,1999,800000,Adults (15-49),People living with HIV
5,Middle East and North Africa,1999,70000,Adults (15-49),People living with HIV
6,West and Central Africa,1999,3100000,Adults (15-49),People living with HIV
7,Western & Central Europe and North America,1999,900000,Adults (15-49),People living with HIV
8,Global,1999,19200000,Adults (15-49),People living with HIV
9,Asia and the Pacific,2000,3700000,Adults (15-49),People living with HIV
10,Caribbean,2000,250000,Adults (15-49),People living with HIV
11,East and Southern Africa,2000,10900000,Adults (15-49),People living with HIV
12,Eastern Europe and Central Asia,2000,300000,Adults (15-49),People living with HIV
13,Latin America,2000,860000,Adults (15-49),People living with HIV
14,Middle East and North Africa,2000,80000,Adults (15-49),People living with HIV
15,West and Central Africa,2000,3100000,Adults (15-49),People living with HIV
16,Western & Central Europe and North America,2000,920000,Adults (15-49),People living with HIV
17,Global,2000,20100000,Adults (15-49),People living with HIV
18,Asia and the Pacific,2001,3800000,Adults (15-49),People living with HIV
19,Caribbean,2001,250000,Adults (15-49),People living with HIV
20,East and Southern Africa,2001,11200000,Adults (15-49),People living with HIV
21,Eastern Europe and Central Asia,2001,340000,Adults (15-49),People living with HIV
22,Latin America,2001,910000,Adults (15-49),People living with HIV
23,Middle East and North Africa,2001,89000,Adults (15-49),People living with HIV
24,West and Central Africa,2001,3200000,Adults (15-49),People living with HIV
25,Western & Central Europe and North America,2001,950000,Adults (15-49),People living with HIV
26,Global,2001,20800000,Adults (15-49),People living with HIV
27,Asia and the Pacific,2002,3900000,Adults (15-49),People living with HIV
28,Caribbean,2002,250000,Adults (15-49),People living with HIV
29,East and Southern Africa,2002,11500000,Adults (15-49),People living with HIV
30,Eastern Europe and Central Asia,2002,380000,Adults (15-49),People living with HIV
31,Latin America,2002,960000,Adults (15-49),People living with HIV
32,Middle East and North Africa,2002,98000,Adults (15-49),People living with HIV
33,West and Central Africa,2002,3200000,Adults (15-49),People living with HIV
34,Western & Central Europe and North America,2002,970000,Adults (15-49),People living with HIV
35,Global,2002,21300000,Adults (15-49),People living with HIV
36,Asia and the Pacific,2003,4000000,Adults (15-49),People living with HIV
37,Caribbean,2003,250000,Adults (15-49),People living with HIV
38,East and Southern Africa,2003,11800000,Adults (15-49),People living with HIV
39,Eastern Europe and Central Asia,2003,410000,Adults (15-49),People living with HIV
40,Latin America,2003,1000000,Adults (15-49),People living with HIV
41,Middle East and North Africa,2003,110000,Adults (15-49),People living with HIV
42,West and Central Africa,2003,3200000,Adults (15-49),People living with HIV
43,Western & Central Europe and North America,2003,990000,Adults (15-49),People living with HIV
44,Global,2003,21700000,Adults (15-49),People living with HIV
45,Asia and the Pacific,2004,4000000,Adults (15-49),People living with HIV
46,Caribbean,2004,250000,Adults (15-49),People living with HIV
47,East and Southern Africa,2004,11900000,Adults (15-49),People living with HIV
48,Eastern Europe and Central Asia,2004,450000,Adults (15-49),People living with HIV
49,Latin America,2004,1000000,Adults (15-49),People living with HIV
50,Middle East and North Africa,2004,110000,Adults (15-49),People living with HIV
51,West and Central Africa,2004,3200000,Adults (15-49),People living with HIV
52,Western & Central Europe and North America,2004,1000000,Adults (15-49),People living with HIV
53,Global,2004,22000000,Adults (15-49),People living with HIV
54,Asia and the Pacific,2005,4000000,Adults (15-49),People living with HIV
55,Caribbean,2005,240000,Adults (15-49),People living with HIV
56,East and Southern Africa,2005,12100000,Adults (15-49),People living with HIV
57,Eastern Europe and Central Asia,2005,480000,Adults (15-49),People living with HIV
58,Latin America,2005,1100000,Adults (15-49),People living with HIV
59,Middle East and North Africa,2005,120000,Adults (15-49),People living with HIV
60,West and Central Africa,2005,3200000,Adults (15-49),People living with HIV
61,Western & Central Europe and North America,2005,1000000,Adults (15-49),People living with HIV
62,Global,2005,22300000,Adults (15-49),People living with HIV
63,Asia and the Pacific,2006,4000000,Adults (15-49),People living with HIV
64,Caribbean,2006,240000,Adults (15-49),People living with HIV
65,East and Southern Africa,2006,12300000,Adults (15-49),People living with HIV
66,Eastern Europe and Central Asia,2006,520000,Adults (15-49),People living with HIV
67,Latin America,2006,1100000,Adults (15-49),People living with HIV
68,Middle East and North Africa,2006,130000,Adults (15-49),People living with HIV
69,West and Central Africa,2006,3300000,Adults (15-49),People living with HIV
70,Western & Central Europe and North America,2006,1000000,Adults (15-49),People living with HIV
71,Global,2006,22700000,Adults (15-49),People living with HIV
72,Asia and the Pacific,2007,4100000,Adults (15-49),People living with HIV
73,Caribbean,2007,240000,Adults (15-49),People living with HIV
74,East and Southern Africa,2007,12600000,Adults (15-49),People living with HIV
75,Eastern Europe and Central Asia,2007,560000,Adults (15-49),People living with HIV
76,Latin America,2007,1100000,Adults (15-49),People living with HIV
77,Middle East and North Africa,2007,130000,Adults (15-49),People living with HIV
78,West and Central Africa,2007,3300000,Adults (15-49),People living with HIV
79,Western & Central Europe and North America,2007,1100000,Adults (15-49),People living with HIV
80,Global,2007,23100000,Adults (15-49),People living with HIV
81,Asia and the Pacific,2008,4100000,Adults (15-49),People living with HIV
82,Caribbean,2008,240000,Adults (15-49),People living with HIV
83,East and Southern Africa,2008,12900000,Adults (15-49),People living with HIV
84,Eastern Europe and Central Asia,2008,600000,Adults (15-49),People living with HIV
85,Latin America,2008,1200000,Adults (15-49),People living with HIV
86,Middle East and North Africa,2008,140000,Adults (15-49),People living with HIV
87,West and Central Africa,2008,3300000,Adults (15-49),People living with HIV
88,Western & Central Europe and North America,2008,1100000,Adults (15-49),People living with HIV
89,Global,2008,23500000,Adults (15-49),People living with HIV
90,Asia and the Pacific,2009,4200000,Adults (15-49),People living with HIV
91,Caribbean,2009,240000,Adults (15-49),People living with HIV
92,East and Southern Africa,2009,13300000,Adults (15-49),People living with HIV
93,Eastern Europe and Central Asia,2009,640000,Adults (15-49),People living with HIV
94,Latin America,2009,1200000,Adults (15-49),People living with HIV
95,Middle East and North Africa,2009,140000,Adults (15-49),People living with HIV
96,West and Central Africa,2009,3300000,Adults (15-49),People living with HIV
97,Western & Central Europe and North America,2009,1100000,Adults (15-49),People living with HIV
98,Global,2009,24100000,Adults (15-49),People living with HIV
99,Asia and the Pacific,2010,4200000,Adults (15-49),People living with HIV
100,Caribbean,2010,240000,Adults (15-49),People living with HIV
101,East and Southern Africa,2010,13600000,Adults (15-49),People living with HIV
102,Eastern Europe and Central Asia,2010,690000,Adults (15-49),People living with HIV
103,Latin America,2010,1200000,Adults (15-49),People living with HIV
104,Middle East and North Africa,2010,150000,Adults (15-49),People living with HIV
105,West and Central Africa,2010,3400000,Adults (15-49),People living with HIV
106,Western & Central Europe and North America,2010,1100000,Adults (15-49),People living with HIV
107,Global,2010,24600000,Adults (15-49),People living with HIV
108,Asia and the Pacific,2011,4300000,Adults (15-49),People living with HIV
109,Caribbean,2011,240000,Adults (15-49),People living with HIV
110,East and Southern Africa,2011,14000000,Adults (15-49),People living with HIV
111,Eastern Europe and Central Asia,2011,740000,Adults (15-49),People living with HIV
